,id,text,Cleaned_tweet
152,0.5655083966242913-155,Rain is not bad but the #potholes and #Traffic is disgusting.. #Bengaluru #potholecity #trafficcity,rain is not bad but the and is disgusting 
153,0.5655083966242913-156,"http://www.bangaloremirror.com/bangalore/others/SaveWhitefield-Techies-to-protest-on-November-30/articleshow …

Let's be there #Bengaluru #potholes #badinfrastructure",let be there
154,0.5655083966242913-157,Who says #Bengaluru is IT city ?? It's a #pothole  city...,who says is it city it a city 
155,0.5655083966242913-158,"Garden city  #Bengaluru ??? NA !!!! Pothole city ??? YEAH..

Images: https://www.google.co.in/search?q=bangalore+potholes&client=ms-android-google&tbm=isch&prmd=nimv&source=lnms&sa=X&ved=0ahUKEwib_IzGop_JAhUBW44KHcL4D68Q_AUIBigC …",garden city na pothole city yeah images 
156,0.5655083966242913-159,"To all fathers, brothers, husbands, sons, uncles, friends....  #InternationalMensDay",to al fathers brothers husbands sons uncles friends 
157,0.5655083966242913-160,Happy International Men’s Day! #MensDay,happy international men s day 
158,0.5655083966242913-161,#SanskariJamesBond  changes his car from Aston Martin to sans'CAR' after Indian Censor Board advice.,changes his car from aston martin to sans car after indian censor board advice 
159,0.5655083966242913-162,Indian Censor Board to #Sunburn .. Only Surya Namaskar..  No songs shall be played..,indian censor board to only surya namaskar no songs shal be played 
160,0.5655083966242913-163,#SanskariJamesBond from now on.. will not receive Salary only Pension !!. Effect of Indian Censor Board.,from now on wil not receive salary only pension effect of indian censor board 
161,0.5655083966242913-164,Issued in public interest by India Censor Board.... Remove footwear's while playing Temple run !!,issued in public interest by india censor board remove footwear while playing temple run 
162,0.5655083966242913-165,#SanskariJamesBond will go to Vaishno Devi for bachelor party with Indian Censor Board. All expenses covered.,wil go to vaishno devi for bachelor party with indian censor board al expenses covered 
163,0.5655083966242913-166,"#SanskariJamesBond : Everyone needs a hobby... 
Enemy: So what's yours? 
#SanskariJamesBond : aarti/puja/bhajan name it....", everyone needs a hobby enemy so what yours aarti puja bhajan name it 
164,0.5655083966242913-167,"http://fortune.com/2015/10/22/uber-tax-shell/ … 

How @Uber plays the tax shell game.",how plays the tax shel game 
165,0.5655083966242913-168,Stressed spelled backwards is Desserts #StressIn5Words,stressed spelled backwards is desserts
166,0.5655083966242913-169,You just met the expectations #StressIn5Words #corporate,you just met the expectations
167,0.5655083966242913-170,Bring #imamsiddique to #BigBoss9,bring to
