id,text
0.5005587103772278-221,@Gurmeetramrahim #3DaysToMSG  all world mein aapki n aapki movie ki dhoom mach rhi h.......  love u pa ...   :) :)
0.5005587103772278-222,@Gurmeetramrahim #3DaysToMSG   waooooooooo. ....  superbbbbbbbbbbbb  n thanks pita g....   :) :)
0.5005587103772278-223,@Gurmeetramrahim #3DaysToMSG  piti dhan dhan satguru tera hi aasra g .gud mrng pa n HAPPY TEDDY BEAR  DAY .love u pa.
0.5005587103772278-224,@Gurmeetramrahim #4DaysToMSG  happy chocolate day papa g love u sooooooooooo much pa.....  :) :)
0.5005587103772278-225,@Gurmeetramrahim #4DaysToMSG  or aashirwad dena g ...n sbhi staff members n students pr hmeshan  apna paawan  aashirwad bnaye rkhna g .....
0.5005587103772278-226,@Gurmeetramrahim #4DaysToMSG  piti aaj se hmare cochng cntr Global study point ki evng classes new bildng mein shift ho rhi hain rhmt krna g
0.5005587103772278-227,@Gurmeetramrahim #4DaysToMSG   #4DaysToMSG  #4DaysToMSG  #4DaysToMSG #4DaysToMSG  waoooooooooooooow piti only #4DaysToMSG ...balle balleeeee
0.5005587103772278-228,@Gurmeetramrahim #LoveToSeeMSG13feb  hmmmm gr8 pa superbbbbbbbbbbbb....... :) :) love u pa...
0.5005587103772278-229,@Gurmeetramrahim #LoveToSeeMSG13feb  g piti n thanks g love u pa .....  :) :)
0.5005587103772278-230,@Gurmeetramrahim #LoveToSeeMSG13feb  g piti n u r looking superbbbbb. Piti love u g.....  :) :)
0.5005587103772278-231,@Gurmeetramrahim #LoveToSeeMSG13feb  thanks piti n very gud mrng g.....  :) :)
0.5005587103772278-232,@Gurmeetramrahim #LoveToSeeMSG13feb  g piti all world mein craze h g.....love u sooooooooooo much pa.....  :) :)
0.5005587103772278-233,@Gurmeetramrahim #LoveToSeeMSG13feb  hmmm great pa.....love u g.......  :) :)
0.5005587103772278-234,@Gurmeetramrahim #LoveToSeeMSG13feb  piti dhan dhan satguru tera hi aasra g...piti aapka koi tweet nhi aaya plz piti tweet kr do plz .....
0.5005587103772278-235,@Gurmeetramrahim #LoveToSeeMSG13feb  piti Maha Paropkar Diwas ki aapko bahut - bahut mubarkein g .....love u piti .....  :) :)
0.5005587103772278-236,@Gurmeetramrahim #LoveToSeeMSG13feb  dhan dhan satguru tera hi aasra piti n gud mrng g love u pa .....  :) :)
0.5005587103772278-237,@Gurmeetramrahim #LoveToSeeMSG13feb  thanks papa g.....
0.5005587103772278-238,@Gurmeetramrahim #LoveToSeeMSG13feb piti m sb bahut miss kr rhi hun g plz himt do g.....
0.5005587103772278-239,@Gurmeetramrahim #DeshKeLiye  thanks piti n same to u ..... love u pa..... :) :)
0.5005587103772278-240,@Gurmeetramrahim #Happy25Jan piti m bhandare pr nhi aa ski plz hmara nara manjur krna g dhan dhan satguru tera hi aasra g love u piti  :) :)
0.5005587103772278-241,@Gurmeetramrahim #LovRabSe happy birthday in advance piti from both of us..... :) :) love u g.....  :) :)
0.5005587103772278-242,@Gurmeetramrahim #LovRabSe g piti thanks g n same to u g happy birthday piti .....
0.5005587103772278-243,@Gurmeetramrahim #MSGTheFilm  #iSupportMSGinPunjab  g piti n thanks g.  .. :) :)
0.5005587103772278-244,@Gurmeetramrahim #iSupportMSG thanks piti n love u g..... :) :)
0.5005587103772278-245,@Gurmeetramrahim #iSupportMSG thanks piti  hum pr apni rehmt bnaye rkhna g..... :) :)
0.5005587103772278-246,@Gurmeetramrahim #iSupportMSG  thanks piti love u g..... :) :)
